Fips,Area,2013,2014,2015,2016,2017,State,Latitude,Longitude
1000,Alabama,36674,36473,36818,37158,37508,Alabama,32.806671,-86.79113
2000,Alaska,69711,67179,65971,63304,63610,Alaska,61.370716,-152.404419
4000,Arizona,38352,38534,38787,38940,39583,Arizona,33.729759,-111.431221
5000,Arkansas,35888,36265,36295,36502,36714,Arkansas,34.969704,-92.373123
6000,California,53838,55571,57637,58974,60359,California,36.116203,-119.681564
8000,Colorado,50523,52105,53007,52863,54026,Colorado,39.059811,-105.311104
9000,Connecticut,62438,62023,62796,62745,62633,Connecticut,41.597782,-72.755371
10000,Delaware,60738,63555,64809,63578,63955,Delaware,39.318523,-75.507141
12000,Florida,38018,38466,39334,39608,39842,Florida,27.766279,-81.686783
13000,Georgia,42513,43467,44246,45238,45925,Georgia,33.040619,-83.643074
15000,Hawaii,49484,49591,51052,51964,52869,Hawaii,21.094318,-157.498337
16000,Idaho,34787,35173,35679,36256,36441,Idaho,44.240459,-114.478828
17000,Illinois,51919,52984,53709,54308,55102,Illinois,40.349457,-88.986137
18000,Indiana,43876,44818,44721,45717,46427,Indiana,39.849426,-86.258278
19000,Iowa,48034,49688,51379,52248,52284,Iowa,42.011539,-93.210526
20000,Kansas,45468,46235,46792,47548,47435,Kansas,38.5266,-96.726486
21000,Kentucky,38259,38336,38419,38736,39277,Kentucky,37.66814,-84.670067
22000,Louisiana,43721,44475,44751,44440,44372,Louisiana,31.169546,-91.867805
23000,Maine,37508,38149,38415,39125,39521,Maine,44.693947,-69.381927
24000,Maryland,53751,54108,54661,55786,56375,Maryland,39.063946,-76.802101
25000,Massachusetts,61842,62528,64660,65168,66500,Massachusetts,42.230171,-71.530106
26000,Michigan,40992,41544,42594,43330,44201,Michigan,43.326618,-84.536095
27000,Minnesota,52023,53109,53257,54295,54805,Minnesota,45.694454,-93.900192
28000,Mississippi,31952,31635,31714,32334,32447,Mississippi,32.741646,-89.678696
29000,Missouri,42498,42527,42785,42736,43036,Missouri,38.456085,-92.288368
30000,Montana,38567,39319,40148,40041,39833,Montana,46.921925,-110.454353
31000,Nebraska,51597,53109,54048,54660,54654,Nebraska,41.12537,-98.268082
32000,Nevada,43074,43075,44057,44142,44812,Nevada,38.313515,-117.055374
33000,New Hampshire,48873,49623,51020,51827,52509,New Hampshire,43.452492,-71.563896
34000,New Jersey,55659,55563,56196,56428,56776,New Jersey,40.298904,-74.521011
35000,New Mexico,39659,40769,41457,41334,41619,New Mexico,34.840515,-106.248482
36000,New York,62320,63174,64286,64522,65220,New York,42.165726,-74.948051
37000,North Carolina,42909,43400,44180,44194,44706,North Carolina,35.630066,-79.806419
38000,North Dakota,67755,70876,67618,64257,64911,North Dakota,47.528912,-99.784012
39000,Ohio,45262,46671,47098,47419,48188,Ohio,40.388783,-82.764915
40000,Oklahoma,43317,45418,46370,44418,44535,Oklahoma,35.565342,-96.928917
41000,Oregon,48169,48130,49715,50751,51312,Oregon,44.572021,-122.070938
42000,Pennsylvania,48289,49228,50489,50978,51841,Pennsylvania,40.590752,-77.209755
44000,Rhode Island,46367,46663,47519,47662,48314,Rhode Island,41.680893,-71.51178
45000,South Carolina,35716,36325,36952,37269,37637,South Carolina,33.856892,-80.945007
46000,South Dakota,47003,47039,47980,48306,48004,South Dakota,44.299782,-99.438828
47000,Tennessee,41513,41858,42902,43720,44348,Tennessee,35.747845,-86.692345
48000,Texas,52007,52879,54200,53104,53737,Texas,31.054487,-97.563461
49000,Utah,42306,43264,44392,44947,45493,Utah,40.150032,-111.862434
50000,Vermont,42989,43222,43605,44354,44831,Vermont,44.045876,-72.710686
51000,Virginia,51112,50855,51486,51443,52124,Virginia,37.769337,-78.169968
53000,Washington,54197,55338,56617,57796,59333,Washington,47.400902,-121.490494
54000,West Virginia,35772,36017,36233,36155,37353,West Virginia,38.491226,-80.954453
55000,Wisconsin,45895,46456,47268,48063,48666,Wisconsin,44.268543,-89.616508
56000,Wyoming,60806,60853,61304,59327,61091,Wyoming,42.755966,-107.30249
0,United States,48534,49329,50301,50660,51337,,,
